,Filename,fn1,f0,fs,iferror,ifmethod,rho,p,r,g,arfunc,automodel,dq,pq,nramp,causality,f0.1,ifquality,ifwinsize,OQ1,OQ2,NAQ,AQ,ClQ,OQa,QOQ,SQ1,SQ2,DH12,PSP,HRF,Unnamed: 31
0,0.mat,0,681.6817716781841,16000,8.773946435e-06,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,681.6817716781841,,0.0,,,,,,,,,,21.701639535892053,,-10.397434974981897,
1,1.mat,1,60.53221179890671,16000,8.655268799e-06,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,60.53221179890671,,1.567375,0.812903127558513,0.646945828624903,0.15337671730616198,0.00252840406613,0.415673959320867,0.4055453165797371,0.488987019130734,0.965097880205396,0.5326397871486049,21.69859890115873,0.27515417239537604,0.9243830327766949,
2,10.mat,10,237.74862540183904,16000,0.05312247169797701,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,237.74862540183904,,1.567375,,,,,,,,,,23.30182155976044,,-8.69162383354576,
3,100.mat,100,235.34187794894763,16000,0.134676360748538,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,235.34187794894763,,1.567375,0.710071977107394,0.476530257480236,0.07752516727571299,0.0013587194564940001,0.34413634054188197,0.220148735905625,0.14025107686983998,0.9804448161883921,0.671317666131594,19.577619997656512,0.35005928572080103,6.190403702895563,
4,11.mat,11,226.45369934328488,16000,0.016321472882122,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,226.45369934328488,,1.567375,,,,,,,,,,20.080114018084238,,-9.621048242382132,
5,12.mat,12,246.74755314256,16000,0.084661780388034,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,246.74755314256,,1.567375,0.626096504206145,0.4466807143696721,0.105026405428307,0.000426160004017,0.200232421619712,0.24510865624602998,0.488159889643527,2.1268487847350093,1.230811128169955,2.336474825768278,0.39712897203836606,-6.565007132103817,
6,13.mat,13,267.885512696192,16000,1.76501724952884,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,267.885512696192,,6.537375,0.888780362396084,0.6738867818162819,0.035233688040371004,0.000133578918781,0.459576231962776,0.077580060528757,0.381950016818439,1.296656888845129,0.6879220697676429,11.937369101732518,0.5043851237518789,-8.301836455961517,
7,14.mat,14,243.97387429308318,16000,0.10802152801229802,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,243.97387429308318,,2.098125,,,,,,,,,,12.101237208461894,,-6.166423735682249,
8,15.mat,15,268.1917369911622,16000,0.24541803059513098,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,268.1917369911622,,2.387625,1.007960072059412,0.958288566452743,0.012092389383765001,4.5646351601000007e-05,0.9086170608460741,0.020569594948903,0.01780287758132,0.10933430098795802,0.05466715049397901,9.799751072387343,0.26291047380930604,0.308598925053562,
9,16.mat,16,246.05981024873714,16000,0.170553842958214,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,246.05981024873714,,2.3876875,,,,,,,,,,3.6842506802551336,,0.23661105948547,
10,17.mat,17,245.42200894490287,16000,0.035008059827161,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,245.42200894490287,,2.049875,0.867952149594794,0.7763546112821059,0.020569444492117003,8.421123347499999e-05,0.6542245601985219,0.067519016764303,0.6740187557829389,0.32668842229251804,0.186679098452867,14.396836233519965,0.6106011220260071,-7.493307991665707,
11,18.mat,18,247.2873883599969,16000,0.157226246705948,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,247.2873883599969,,1.856875,0.6144496357968461,0.489223525374569,0.063604279702806,0.000257147854962,0.39631965018123905,0.149007467862886,0.254291989177977,0.633262566137673,0.21846331959167997,12.275204587061909,0.536645285047746,-3.275330037997757,
12,19.mat,19,258.68132507397684,16000,1.4902626268832257,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,258.68132507397684,,4.8485625,0.147608450313959,0.09069637085857499,0.038194001491607,0.000148060881174,0.063815494711047,0.097899067568343,0.062791105727257,0.970651516930518,0.25264383670823,13.222070369981182,0.977266872499198,-6.382423627315259,
13,2.mat,2,261.76064083847245,16000,0.088321111190745,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,261.76064083847245,,7.6955,,,,,,,,,,9.26364062554061,,-5.745661709295455,
14,20.mat,20,231.37453450966916,16000,0.524093063108771,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,231.37453450966916,,1.81925,,,,,,,,,,4.45085553166799,,5.533519227470781,
15,21.mat,21,257.85163629608087,16000,0.584499450197073,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,257.85163629608087,,4.9653125,0.91622953606848,0.617858153204931,0.043956068389117,0.00017224074557599996,0.3945569841820589,0.08099657917863999,0.5295400577782601,1.3225436304009328,0.5596978041966129,11.104600325303625,0.6402773061003111,-7.183280724120227,
16,22.mat,22,119.01076669898794,16000,0.08411782917141498,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,119.01076669898794,,2.0904375,0.9829072294799001,0.651289816643845,0.044389262890772,0.000185286707052,0.48658497233527603,0.11115061717872302,0.48437383636111403,0.83362918669588,0.213365266137594,8.854682413131274,0.7110247924458342,-5.0072936443701375,
17,23.mat,23,243.29362850629227,16000,0.18739182776536104,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,243.29362850629227,,1.6565,,,,,,,,,,4.024800747117297,,-0.342791070416554,
